BABIP,tOPS+,WHIP,SO/9,RD,Class
0.3,102,1.094,8.7,17,no
0.293,98,1.135,8.8,13,yes
0.296,92,1.317,7.6,-8,no
0.293,100,1.437,8.2,-57,no
0.299,93,1.232,8.8,3,yes
0.28,104,1.178,7.5,17,yes
0.274,90,1.409,9.1,-28,no
0.289,100,1.452,8.3,1,no
0.278,95,1.292,8,-12,no
0.333,113,1.235,8.3,12,no
0.282,85,1.281,7.8,7,no
0.314,107,1.273,9.6,16,yes
0.319,96,1.472,6.8,-7,yes
0.273,88,1.21,7.7,-28,no
0.314,108,1.419,7.5,-19,no
0.259,77,1.255,7.1,-9,yes
0.308,105,1.376,7.1,-17,no
0.287,108,1.342,7.6,-19,no
0.3,109,1.381,8.3,-11,no
0.298,112,1.248,7.8,10,no
0.325,113,1.302,7,33,no
0.3,98,1.224,8.3,10,yes
0.312,95,1.265,8.5,8,yes
0.319,110,1.484,5.7,5,no
0.325,116,1.523,6.8,2,no
0.31,113,1.307,9.2,-11,no
0.313,95,1.5,6.9,-28,no
0.331,116,1.629,6.1,-51,no
0.293,105,1.336,7.3,21,yes
0.3,107,1.202,6.9,30,yes
0.298,112,1.283,7,5,no
0.285,85,1.259,8.3,24,yes
0.264,103,1.255,8.1,-19,no
0.281,97,1.246,7.6,16,no
0.291,92,1.284,8.6,-20,yes
0.3,98,1.2,8.4,4,no
0.305,115,1.294,8.1,11,yes
0.264,90,1.432,7.3,-33,no
0.287,97,1.226,7.8,-33,no
0.269,90,1.346,7.1,-44,no
0.276,107,1.311,7,1,no
0.277,93,1.289,7.5,-19,no
0.299,104,1.282,6.7,26,no
0.305,103,1.432,6.5,-22,no
0.297,100,1.271,7.8,-22,no
0.294,98,1.315,8,0,yes
0.285,106,1.173,8.4,38,no
0.274,90,1.235,8.3,0,yes
0.339,99,1.247,9.9,38,yes
0.292,96,1.151,8.2,24,yes
0.32,119,1.32,6.5,25,no
0.313,106,1.237,8.5,14,no
0.32,96,1.243,9.8,27,yes
0.286,95,1.361,5.7,-7,no
0.271,97,1.278,8.1,-17,no
0.286,122,1.338,8.3,10,no
0.28,71,1.277,7.3,-14,no
0.316,111,1.344,6.9,4,no
0.24,72,1.228,5.5,-20,yes
0.299,106,1.403,8,21,yes
0.267,94,1.564,8.3,-20,no
0.329,108,1.037,7.1,53,yes
0.295,87,1.323,7.6,-21,no
0.294,94,1.313,7.2,2,no
0.295,109,1.164,8.5,12,no
0.289,99,1.238,7.4,4,yes
0.285,104,1.339,6.1,-1,no
0.264,98,1.252,6.5,9,no
0.275,99,1.24,7.2,-8,no
0.268,91,1.3,7.3,-14,no
0.334,109,1.366,8.1,-20,no
0.276,71,1.075,8.7,15,yes
0.282,100,1.231,7,12,yes
0.269,81,1.264,7.9,-24,no
0.292,79,1.148,7.3,-2,no
0.279,78,1.188,7.1,-8,no
0.295,116,1.106,7.6,56,yes
0.295,116,1.365,7.4,8,no
0.321,121,1.508,7.2,3,no
0.282,91,1.289,7.1,-3,yes
0.295,99,1.482,7,1,no
0.286,108,1.468,7,-19,no
0.277,84,1.447,7.9,-10,yes
0.308,102,1.421,5.1,-37,no
0.286,90,1.078,8.6,3,no
0.286,108,1.358,8.8,18,yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
